filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
"CP.Gemini-South(8,1m).GSAOI.None.Kshort"	21326.7	675.73	notfound	notfound
"CP.Gemini-South(8,1m).GSAOI.None.Kshortcont"	20977.47	705.24	notfound	notfound
"CP.Gemini-South(8,1m).GSAOI.None.Z"	10079.16	2088.67	notfound	notfound
"CP.Gemini-South(8,1m).Michelle.None.N"	95374.97	36.99	notfound	notfound
"CP.Gemini-South(8,1m).Michelle.None.Q"	195515.51	9.42	notfound	notfound
"CP.Gemini-South(8,1m).OSCIR.None.N"	102026.49	35.57	notfound	notfound
"CP.Gemini-South(8,1m).TReCS.None.k"	21621.94	655	notfound	notfound
"CP.Gemini-South(8,1m).TReCS.None.l"	38154.33	239.19	notfound	notfound
"CP.Gemini-South(8,1m).TReCS.None.m"	46427.48	166.96	notfound	notfound
"CP.Gemini-South(8,1m).TReCS.None.n"	94539.02	38.06	notfound	notfound
"CP.Gemini-South(8,1m).TReCS.None.np"	111849.97	30.47	notfound	notfound
"CP.Gemini-South(8,1m).TReCS.None.Q"	202898.84	8.87	notfound	notfound
CSST.None.None.None.F275W	2756.54	945.82	notfound	notfound
CSST.None.None.None.F336W	3360.66	1242.58	notfound	notfound
CSST.None.None.None.F375M	3798.93	2232.3	notfound	notfound
CSST.None.SC0Phot.None.g	4620.93	4004.56	notfound	notfound
CSST.None.SC0Phot.None.i	7556.09	2553.49	notfound	notfound
CSST.None.SC0Phot.None.r	6077.26	3219.1	notfound	notfound
CSST.None.SC0Phot.None.u	3586.55	1624.15	notfound	notfound
CSST.None.SC0Phot.None.y	9993.48	2099.97	notfound	notfound
CSST.None.SC0Phot.None.z	9408.28	2181.46	notfound	notfound
CSST.None.SPLUS.JAVA.u	3542.07	1345.85	0.144112	1.095256
CSST.None.SPLUS.None.F378	3783.69	2169.76	-0.223843	0.584698
CSST.None.SPLUS.None.F395	3940.17	3627.01	-0.688661	0.025523
CSST.None.SPLUS.None.F410	4094.63	4258.41	-0.785238	-0.154419
CSST.None.SPLUS.None.F430	4286.52	4142.83	notfound	notfound
CSST.None.SPLUS.None.F515	5131.93	3855.87	-0.199907	-0.059776
CSST.None.SPLUS.None.F660	6616.95	2738.73	0.715373	0.305152
CSST.None.SPLUS.None.F861	8607.17	2234.71	1.512292	0.530025
CSST.None.SPLUS.SDSS.g	4715.83	3992.85	-0.399119	-0.094412
CSST.None.SPLUS.SDSS.i	7627.01	2526.33	1.115829	0.383721
CSST.None.SPLUS.SDSS.r	6202.57	3148.44	0.439725	0.151759
CSST.None.SPLUS.SDSS.z	8913.47	2241.47	1.580157	0.515161
"CTIO.LCOGT(1,0m).Sinistro.Bessel.B"	4342.31	4003.73	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.Bessel.I"	8592.35	2264.85	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.Bessel.R"	6312.69	3037.46	notfound	notfound
